,zcta,total population,male,female,median age in years,hispanic or latino of any race,white alone,black or african american alone,asian alone,per-capita income,public transportation (excluding taxicab),average household size,positive,total tests,some_other_race,Education Index
83,11357,39902,0.4750889679715303,0.5249110320284698,45.5,0.15638313868978998,0.5976893388802567,0.004686481880607488,0.2197884817803619,38271,0.1164853892035487,2.73,0.011327752994837351,0.01999899754398276,0.021452558768984012,0.3679292164354587
84,11229,83615,0.48163607008311904,0.518363929916881,40.8,0.10810261316749387,0.5940560904143993,0.05103151348442265,0.22059439095856007,31040,0.22754290498116367,2.69,0.009818812414040543,0.017329426538300545,0.02621539197512408,0.3444341126510956
85,11223,81789,0.4904449253567106,0.5095550746432894,36.5,0.1674675078555796,0.5212314614434704,0.03498025406839551,0.24141388206238001,26454,0.23125359155876707,2.92,0.011248456393891599,0.019819291102715523,0.03490689457017447,0.2589281074759824
86,11102,30800,0.4991883116883117,0.5008116883116883,33.7,0.30753246753246755,0.429512987012987,0.08633116883116883,0.15097402597402598,38734,0.3892857142857143,2.33,0.010162337662337663,0.017857142857142856,0.02564935064935065,0.4557059872635751
87,11235,78128,0.4791112021298382,0.5208887978701617,45.1,0.08308160966618881,0.7188203972967439,0.02319270939995904,0.14412246569731724,31978,0.21521093590006143,2.38,0.012210731107925456,0.021375179193118984,0.030782817939791113,0.4771668480594784
88,10037,21139,0.44462841194001607,0.5553715880599839,35.3,0.21368087421353896,0.058990491508586027,0.6781304697478594,0.024977529684469466,30750,0.28369364681394577,2.14,0.01111689294668622,0.01944273617484271,0.02422063484554615,0.3317641674908552
89,11214,92946,0.49035999397499624,0.5096400060250038,39.6,0.1643212187721903,0.426871516794698,0.012297463043057259,0.3737869300454027,25960,0.2660146751877434,2.88,0.008478041013061348,0.014782777096378543,0.022722871344651733,0.27653176139392427
90,11356,23362,0.4975601403989384,0.5024398596010615,37.1,0.4030904888280113,0.26491738720999913,0.01519561681362897,0.2898296378734697,25776,0.1395000428045544,3.13,0.01267014810375824,0.022001540963958566,0.026966869274890847,0.1633319577536832
91,11374,42653,0.45917051555576394,0.5408294844442361,43.8,0.1628724825920803,0.4353269406606804,0.03884838112207817,0.31838323212904135,37825,0.3040817761939371,2.19,0.016083276674559818,0.027899561578318056,0.04456896349611985,0.5229402200123391
92,11238,54540,0.4671983865053172,0.5328016134946828,35.8,0.10903923725705904,0.4251008434176751,0.3542170883755042,0.060854418775210854,53712,0.41604327099376603,2.17,0.008324165749908324,0.01442977631096443,0.05078841217455079,0.6354009452758461
